Path no.	a	b	c	E_P	R_P	I_P	Length	No. pixel
1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	77.38401611954951	7.09668283915993	37.89935273685842	855.5366129477866	210.0
2.0	0.30380826716022774	0.30380826716022774	0.3923834656795445	80.97735354101907	7.36724813535719	34.39695774752181	895.71200947247	224.0
3.0	0.2726206628903694	0.2726206628903694	0.4547586742192613	81.39169169009459	7.465620928293198	34.04286812979262	900.3150978412991	225.0
4.0	0.24070663630827838	0.24070663630827838	0.5185867273834431	81.90566859508331	7.6281069975770235	33.65253864962142	906.0350827348117	228.0
5.0	0.20909306417365262	0.20909306417365262	0.5818138716526947	90.88827940512465	8.042195509609504	29.607202544691972	1006.7048908906659	261.0
6.0	0.17876891510895462	0.17876891510895462	0.6424621697820907	91.30101038579247	8.1000445121478	29.453435197356157	1011.3079792594951	262.0
7.0	0.15056638178790074	0.15056638178790074	0.6988672364241985	91.5434519307603	8.178694270390842	29.37655152368825	1014.0044059971533	262.0
8.0	0.12508063787386264	0.12508063787386264	0.7498387242522747	91.54358777313574	8.213013200400498	29.370640411856584	1014.0044059971533	262.0
9.0	0.10264161723118406	0.10264161723118406	0.7947167655376318	91.54358777313574	8.213013200400498	29.370640411856584	1014.0044059971533	262.0
10.0	0.08333333333333333	0.08333333333333333	0.8333333333333334	92.75316850984308	8.415135593791673	29.222784176352434	1027.4865396854448	262.0
11.0	0.30380826716022774	0.3923834656795445	0.30380826716022774	77.38192385317522	6.955118825126693	38.053120084194234	855.5366129477866	210.0
12.0	0.27908799279413005	0.360456003602935	0.360456003602935	80.97735354101907	7.36724813535719	34.39695774752181	895.71200947247	224.0
13.0	0.2525475607518618	0.3261777174893931	0.42127472175874514	81.39169169009459	7.465620928293198	34.04286812979262	900.3150978412991	225.0
14.0	0.22492206902727188	0.2904980229066276	0.48457990806610046	81.90566859508331	7.6281069975770235	33.65253864962142	906.0350827348117	228.0
15.0	0.19707893282386293	0.25453722967015097	0.5483838375059861	90.88827940512465	8.042195509609504	29.607202544691972	1006.7048908906659	261.0
16.0	0.1699130442980791	0.21945113544484318	0.6106358202570776	91.30101038579247	8.1000445121478	29.453435197356157	1011.3079792594951	262.0
17.0	0.14423482239651478	0.18628643654969992	0.6694787410537852	91.5434519307603	8.178694270390842	29.37655152368825	1014.0044059971533	262.0
18.0	0.12067978194866266	0.15586393194986448	0.7234562861014728	91.5434519307603	8.178694270390842	29.37655152368825	1014.0044059971533	262.0
19.0	0.09965929981614352	0.12871493529315806	0.7716257648906985	91.54358777313574	8.213013200400498	29.370640411856584	1014.0044059971533	262.0
20.0	0.08135670661985557	0.10507622718158866	0.8135670661985558	92.75316850984308	8.415135593791673	29.222784176352434	1027.4865396854448	262.0
21.0	0.2726206628903694	0.4547586742192613	0.2726206628903694	77.38192385317522	6.955118825126693	38.053120084194234	855.5366129477866	210.0
22.0	0.2525475607518618	0.42127472175874514	0.3261777174893931	80.80511512428414	7.228911464011962	34.69267021853011	893.8053478412992	223.0
23.0	0.2306166118319001	0.38469169408405	0.38469169408405	81.22016339742912	7.383796955550235	34.21809726196807	898.4084362101282	224.0
24.0	0.20735981239767615	0.345897014454267	0.446743173148057	82.14607380741954	7.571607889683253	33.57565497595351	908.73150947247	228.0
25.0	0.1834640229103635	0.30603643517366125	0.5104995419159752	90.47485083758008	7.932141315829377	29.810887768748216	1002.1018025218368	260.0
26.0	0.15969557676781265	0.2663882773948615	0.573916145837326	91.12930369032495	8.02941970224283	29.530318871024065	1009.4013176283243	261.0
27.0	0.13680471895193544	0.2282040251752266	0.634991255872838	91.30101038579247	8.1000445121478	29.453435197356157	1011.3079792594951	262.0
28.0	0.11543421159964617	0.19255587038063504	0.6920099180197187	91.5434519307603	8.178694270390842	29.37655152368825	1014.0044059971533	262.0
29.0	0.09605467557532285	0.16022885592777342	0.7437164684969036	91.5434519307603	8.178694270390842	29.37655152368825	1014.0044059971533	262.0
30.0	0.07893843256638876	0.1316772417697237	0.7893843256638876	91.54358777313574	8.213013200400498	29.370640411856584	1014.0044059971533	262.0
31.0	0.24070663630827838	0.5185867273834431	0.24070663630827838	77.138693330579	6.852044602257855	38.50259990253835	852.8401862101282	210.0
32.0	0.22492206902727188	0.48457990806610046	0.2904980229066276	80.80511512428414	7.228911464011962	34.69267021853011	893.8053478412992	223.0
33.0	0.20735981239767612	0.4467431731480569	0.34589701445426696	81.21955891209814	7.3157373210846215	34.29498093563598	898.4084362101281	224.0
34.0	0.18836402412823885	0.4058179879358806	0.4058179879358806	81.80161311915435	7.373305626644118	33.90465145546477	904.9181862101282	226.0
35.0	0.16843540425738773	0.3628830779616602	0.4686815177809522	90.71587512278037	7.919365508462701	29.73400409508031	1004.7982292594952	260.0
36.0	0.1481866030362502	0.3192583581792815	0.5325550387844683	91.12930369032495	8.02941970224283	29.530318871024065	1009.4013176283243	261.0
37.0	0.12827052111465376	0.2763504603978773	0.595379018487469	91.30101038579247	8.1000445121478	29.453435197356157	1011.3079792594951	262.0
38.0	0.10929825153192438	0.23547594466020838	0.6552258038078672	91.5434519307603	8.178694270390842	29.37655152368825	1014.0044059971533	262.0
39.0	0.0917677743469281	0.1977076764800399	0.710524549173032	91.5434519307603	8.178694270390842	29.37655152368825	1014.0044059971533	262.0
40.0	0.07601999048714546	0.16378010464139997	0.7601999048714545	91.5434519307603	8.178694270390842	29.37655152368825	1014.0044059971533	262.0
41.0	0.20909306417365262	0.5818138716526947	0.20909306417365262	77.138693330579	6.852044602257855	38.50259990253835	852.8401862101282	210.0
42.0	0.19707893282386293	0.5483838375059861	0.25453722967015097	80.80507059644975	7.223089015624812	34.70307528960984	893.8053478412992	223.0
43.0	0.1834640229103635	0.5104995419159752	0.30603643517366125	81.45841914470748	7.1901748318002285	34.35413127380889	901.1048629477864	224.0
44.0	0.16843540425738773	0.4686815177809522	0.3628830779616602	81.80100863382337	7.305245992178505	33.98153512913268	904.9181862101282	226.0
45.0	0.15232016811753976	0.4238399159412301	0.4238399159412301	89.78789831163704	7.711763773878989	30.260367587092333	994.4751559971535	256.0
46.0	0.135567980503551	0.37722595878838805	0.487206060708061	91.12930369032495	8.02941970224283	29.530318871024065	1009.4013176283243	261.0
47.0	0.11870636318434541	0.33030750698041395	0.5509861298352406	91.12930369032495	8.02941970224283	29.530318871024065	1009.4013176283243	261.0
48.0	0.10227665894025084	0.2845908789605263	0.6131324620992228	91.30101038579247	8.1000445121478	29.453435197356157	1011.3079792594951	262.0
49.0	0.0867664185605949	0.2414327137616221	0.6718008676777829	91.5434519307603	8.178694270390842	29.37655152368825	1014.0044059971533	262.0
50.0	0.07255546454164827	0.20188989004186905	0.7255546454164827	91.5434519307603	8.178694270390842	29.37655152368825	1014.0044059971533	262.0
51.0	0.17876891510895462	0.6424621697820907	0.17876891510895462	76.96465406094393	6.553449018925625	39.687516518024495	850.9335245789575	209.0
52.0	0.1699130442980791	0.6106358202570776	0.21945113544484318	77.37944878240971	6.8104881894419735	38.42571622887044	855.5366129477865	210.0
53.0	0.15969557676781262	0.5739161458373259	0.2663882773948615	81.45841914470748	7.1901748318002285	34.35413127380889	901.1048629477864	224.0
54.0	0.14818660303625017	0.5325550387844682	0.31925835817928144	81.87116982288431	7.2385905600025024	34.05841880280059	905.7079513166155	225.0
55.0	0.135567980503551	0.48720606070806094	0.377225958788388	89.27408235437468	7.55857818438779	30.617013350012712	988.7551711036408	253.0
56.0	0.12213550519427399	0.43893224740286296	0.43893224740286296	90.71587512278037	7.919365508462701	29.73400409508031	1004.7982292594952	260.0
57.0	0.10827898408105553	0.38913449249338117	0.5025865234255632	91.12930369032495	8.02941970224283	29.530318871024065	1009.4013176283243	261.0
58.0	0.09444069051152175	0.3394022439794509	0.5661570655090273	91.54070100355204	8.017477243698764	29.453435197356157	1014.0044059971535	262.0
59.0	0.0810605936254258	0.2913166689671695	0.6276227374074046	91.78314254851988	8.096127001941804	29.37655152368825	1016.7008327348117	262.0
60.0	0.06852218501872379	0.2462559647940383	0.6852218501872379	91.78314254851988	8.096127001941804	29.37655152368825	1016.7008327348117	262.0
61.0	0.15056638178790074	0.6988672364241985	0.15056638178790074	77.20454229402847	6.450983034227673	39.850516326812794	853.6299513166157	209.0
62.0	0.14423482239651478	0.6694787410537852	0.18628643654969992	77.37561869106436	6.50788822396329	39.46277660885244	855.5366129477866	210.0
63.0	0.13680471895193544	0.634991255872838	0.2282040251752266	81.69914139388241	7.138039753869095	34.35413127380889	903.8012896854447	224.0
64.0	0.12827052111465376	0.595379018487469	0.2763504603978773	81.9402581406553	7.116178445191755	34.27724760014098	906.4977164231029	224.0
65.0	0.11870636318434541	0.5509861298352406	0.33030750698041395	89.75486460564643	7.449341498302042	30.617013350012712	994.1480245789573	253.0
66.0	0.10827898408105556	0.5025865234255633	0.3891344924933812	90.78014784905875	7.650617803340845	30.04153878975194	1005.5879943659827	259.0
67.0	0.09724620466173507	0.45137689766913247	0.45137689766913247	91.61008594159668	7.9201830161570825	29.530318871024065	1014.7941711036408	261.0
68.0	0.08593700001798064	0.3988842196776401	0.5151787803043794	91.78142325272697	7.96534216576763	29.453435197356157	1016.7008327348117	262.0
69.0	0.07471481917380624	0.34679547038253694	0.5784897104436569	91.78142325272697	7.96534216576763	29.453435197356157	1016.7008327348117	262.0
70.0	0.06393212420026434	0.2967466337970922	0.6393212420026434	92.02386479769481	8.043991924010673	29.37655152368825	1019.3972594724698	262.0
71.0	0.12508063787386264	0.7498387242522747	0.12508063787386264	77.20454229402847	6.450983034227673	39.850516326812794	853.6299513166157	209.0
72.0	0.12067978194866266	0.7234562861014728	0.15586393194986448	77.61607046668018	6.441459221280551	39.54889274397283	858.2330396854447	210.0
73.0	0.11543421159964617	0.6920099180197187	0.19255587038063504	81.28022623505461	6.651264360473992	36.18370437610429	899.1982013166157	223.0
74.0	0.10929825153192438	0.6552258038078672	0.23547594466020838	82.18082285381116	7.06570307373977	34.27724760014098	909.1941431607611	224.0
75.0	0.10227665894025084	0.6131324620992228	0.2845908789605263	89.58344947589006	7.366847810718071	30.847664371016435	992.2413629477865	252.0
76.0	0.09444069051152175	0.5661570655090273	0.3394022439794509	89.75486460564643	7.449341498302042	30.617013350012712	994.1480245789573	253.0
77.0	0.08593700001798064	0.5151787803043794	0.3988842196776401	91.67877833435406	7.723291834184216	29.73400409508031	1015.5839362101283	260.0
78.0	0.07698416085601245	0.4615079195719938	0.4615079195719938	92.50408410486749	7.836635324923945	29.453435197356157	1024.7901129477866	262.0
79.0	0.06785420882418662	0.4067752950795238	0.5253704960962896	92.50408410486749	7.836635324923945	29.453435197356157	1024.7901129477866	262.0
80.0	0.05884138083729406	0.3527448107897652	0.5884138083729407	92.74652564983533	7.915285083166987	29.37655152368825	1027.4865396854448	262.0
81.0	0.10264161723118406	0.7947167655376318	0.10264161723118406	77.85378364735895	6.300387832585417	40.23656044222298	860.9294664231031	210.0
82.0	0.09965929981614352	0.7716257648906985	0.12871493529315806	78.0972833549805	6.370040514603042	39.54889274397283	863.6258931607613	210.0
83.0	0.09605467557532285	0.7437164684969036	0.16022885592777342	81.75837083471465	6.4686447474892645	36.64832776773255	904.5910547919323	223.0
84.0	0.0917677743469281	0.710524549173032	0.1977076764800399	82.41535226877298	6.6110881490403965	35.686904124799185	911.8905698984195	224.0
85.0	0.0867664185605949	0.6718008676777829	0.2414327137616221	82.66203574211148	6.994284367062261	34.27724760014098	914.5869966360776	224.0
86.0	0.0810605936254258	0.6276227374074046	0.2913166689671695	91.37163847246056	7.249814581500394	30.540129676344804	1012.2332466360776	254.0
87.0	0.07471481917380624	0.5784897104436569	0.34679547038253694	92.46661333044031	7.3909610781753265	30.04153878975194	1024.4629815295903	259.0
88.0	0.06785420882418662	0.5253704960962896	0.4067752950795238	92.8835114560903	7.545539542768861	29.73400409508031	1029.0660698984195	260.0
89.0	0.06066020018904909	0.4696698999054755	0.4696698999054755	93.70944747417438	7.65875746108622	29.453435197356157	1038.2722466360779	262.0
90.0	0.053354285698451125	0.4131028573170375	0.5335428569845113	93.70944747417438	7.65875746108622	29.453435197356157	1038.2722466360779	262.0
91.0	0.08333333333333333	0.8333333333333334	0.08333333333333333	78.16445973536858	6.215386728052572	40.6641787669796	864.4156582672488	209.0
92.0	0.08135670661985557	0.8135670661985558	0.10507622718158866	78.74709034821915	6.236363978411589	39.934936859383015	870.9254082672487	211.0
