# Longitute	Latitude  	x in sim  	y in sim  	Row in arr	Col in arr
-46.769752	25.044976	213.194313	239.233313	65.000000	182.000000
-46.769752	25.044869	213.194313	235.978438	65.000000	183.000000
-46.769752	25.044762	213.194313	232.723563	65.000000	184.000000
-46.769752	25.044654	213.194313	229.468688	65.000000	185.000000
-46.769752	25.044547	213.194313	226.213813	65.000000	186.000000
-46.769752	25.044439	213.194313	222.958938	65.000000	187.000000
-46.769859	25.044332	209.939438	219.704063	64.000000	188.000000
-46.769966	25.044224	206.684562	216.449188	63.000000	189.000000
-46.770073	25.044117	203.429688	213.194313	62.000000	190.000000
-46.770181	25.044010	200.174813	209.939438	61.000000	191.000000
-46.770288	25.043902	196.919938	206.684562	60.000000	192.000000
-46.770395	25.043795	193.665063	203.429688	59.000000	193.000000
-46.770503	25.043687	190.410188	200.174813	58.000000	194.000000
-46.770610	25.043580	187.155313	196.919938	57.000000	195.000000
-46.770717	25.043472	183.900438	193.665063	56.000000	196.000000
-46.770824	25.043365	180.645563	190.410188	55.000000	197.000000
-46.770932	25.043258	177.390688	187.155313	54.000000	198.000000
-46.771039	25.043150	174.135813	183.900438	53.000000	199.000000
-46.771146	25.043043	170.880938	180.645563	52.000000	200.000000
-46.771254	25.042935	167.626063	177.390688	51.000000	201.000000
-46.771361	25.042828	164.371188	174.135813	50.000000	202.000000
-46.771468	25.042720	161.116313	170.880938	49.000000	203.000000
-46.771576	25.042613	157.861438	167.626063	48.000000	204.000000
-46.771683	25.042506	154.606562	164.371188	47.000000	205.000000
-46.771683	25.042506	154.606562	164.371188	47.000000	205.000000
