Path no.	a	b	c	E_P	R_P	I_P	Length	No. pixel
1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	32.95205243680489	-0.00812956020668953	11.858628933019645	542.1382742518143	92.0
2.0	0.19371294336139652	0.19371294336139652	0.6125741132772069	33.60336902718629	-0.008224984834599124	11.521407966203697	552.823831429186	93.0
3.0	0.08333333333333333	0.08333333333333333	0.8333333333333334	33.944883539042785	-0.008401682183363362	11.431076888628013	558.4060493109381	95.0
4.0	0.19371294336139652	0.6125741132772069	0.19371294336139652	32.95205271168174	-0.008129685882331445	11.858628933019645	542.1382742518143	92.0
5.0	0.1365270594958143	0.4317364702520928	0.4317364702520928	33.603369302063136	-0.008225110510241038	11.521407966203697	552.823831429186	93.0
6.0	0.07061011116965424	0.22328877713380335	0.7061011116965423	33.94488381391963	-0.008401807859005277	11.431076888628013	558.4060493109381	95.0
7.0	0.08333333333333333	0.8333333333333334	0.08333333333333333	32.95205271168174	-0.008129685882331445	11.858628933019645	542.1382742518143	92.0
8.0	0.07061011116965424	0.7061011116965423	0.22328877713380335	33.603369302063136	-0.008225110510241038	11.521407966203697	552.823831429186	93.0
9.0	0.047619047619047616	0.47619047619047616	0.47619047619047616	33.94488381391963	-0.008401807859005277	11.431076888628013	558.4060493109381	95.0
10.0	0.6125741132772069	0.19371294336139652	0.19371294336139652	32.271227930006205	-0.007765888734490005	13.02492845494271	530.9738384883099	88.0
11.0	0.4317364702520928	0.1365270594958143	0.4317364702520928	32.95205243680489	-0.00812956020668953	11.858628933019645	542.1382742518143	92.0
12.0	0.22328877713380335	0.07061011116965424	0.7061011116965423	33.60336902718629	-0.008224984834599124	11.521407966203697	552.823831429186	93.0
13.0	0.43173647025209283	0.43173647025209283	0.1365270594958143	32.271227930006205	-0.007765888734490005	13.02492845494271	530.9738384883099	88.0
14.0	0.33333333333333337	0.33333333333333337	0.33333333333333337	32.95205243680489	-0.00812956020668953	11.858628933019645	542.1382742518143	92.0
15.0	0.19371294336139655	0.19371294336139655	0.6125741132772068	33.60336902718629	-0.008224984834599124	11.521407966203697	552.823831429186	93.0
16.0	0.22328877713380335	0.7061011116965423	0.07061011116965424	32.271228204883045	-0.007766014410131922	13.02492845494271	530.9738384883099	88.0
17.0	0.19371294336139655	0.6125741132772068	0.19371294336139655	32.95205271168174	-0.008129685882331445	11.858628933019645	542.1382742518143	92.0
18.0	0.13652705949581434	0.4317364702520929	0.4317364702520929	33.603369302063136	-0.008225110510241038	11.521407966203697	552.823831429186	93.0
19.0	0.8333333333333334	0.08333333333333333	0.08333333333333333	32.271227930006205	-0.007765888734490005	13.02492845494271	530.9738384883099	88.0
20.0	0.7061011116965423	0.07061011116965424	0.22328877713380335	32.271227930006205	-0.007765888734490005	13.02492845494271	530.9738384883099	88.0
21.0	0.47619047619047616	0.047619047619047616	0.47619047619047616	32.95205243680489	-0.00812956020668953	11.858628933019645	542.1382742518143	92.0
22.0	0.7061011116965423	0.22328877713380335	0.07061011116965424	32.271227930006205	-0.007765888734490005	13.02492845494271	530.9738384883099	88.0
23.0	0.6125741132772068	0.19371294336139655	0.19371294336139655	32.271227930006205	-0.007765888734490005	13.02492845494271	530.9738384883099	88.0
24.0	0.4317364702520929	0.13652705949581434	0.4317364702520929	32.95205243680489	-0.00812956020668953	11.858628933019645	542.1382742518143	92.0
25.0	0.47619047619047616	0.47619047619047616	0.047619047619047616	32.271227930006205	-0.007765888734490005	13.02492845494271	530.9738384883099	88.0
26.0	0.4317364702520929	0.4317364702520929	0.13652705949581434	32.271227930006205	-0.007765888734490005	13.02492845494271	530.9738384883099	88.0
