Path no.	a	b	c	E_P	R_P	I_P	E	crash	S	Length	No. pixel
1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	36.28833522923763	18.018423205786778	66.67130862597219	325272.68037409225	0.9982997902230463	0.2981967513055559	3080.5277474950053	95.0
2.0	0.30380826716022774	0.30380826716022774	0.3923834656795445	36.450062760411456	18.717514401755285	65.86307615682995	326722.3348490875	0.9986916099034713	0.3067044615070532	3080.5277474950053	95.0
3.0	0.2726206628903694	0.2726206628903694	0.4547586742192613	36.450062760411456	18.717514401755285	65.86307615682995	326722.3348490875	0.9986916099034713	0.3067044615070532	3080.5277474950053	95.0
4.0	0.24070663630827838	0.24070663630827838	0.5185867273834431	38.6461210260497	25.4749538374662	60.982321089958305	346406.835496731	0.9999809806302716	0.3580808306320179	3255.971374604637	95.0
5.0	0.20909306417365262	0.20909306417365262	0.5818138716526947	38.95255811950872	30.9673929813091	58.80779219314968	349153.60285670497	0.9999995981755209	0.3809706084931612	3255.9713746046364	95.0
6.0	0.17876891510895462	0.17876891510895462	0.6424621697820907	38.95255811950872	30.9673929813091	58.80779219314968	349153.60285670497	0.9999995981755209	0.3809706084931612	3255.9713746046364	95.0
7.0	0.15056638178790074	0.15056638178790074	0.6988672364241985	38.95255811950872	30.9673929813091	58.80779219314968	349153.60285670497	0.9999995981755209	0.3809706084931612	3255.9713746046364	95.0
8.0	0.12508063787386264	0.12508063787386264	0.7498387242522747	38.95255811950872	30.9673929813091	58.80779219314968	349153.60285670497	0.9999995981755209	0.3809706084931612	3255.9713746046364	95.0
9.0	0.10264161723118406	0.10264161723118406	0.7947167655376318	40.1691914106029	34.50244874818174	58.10222137615597	360058.9687029648	0.9999999944655403	0.38839766972467404	3343.693188159452	95.0
10.0	0.08333333333333333	0.08333333333333333	0.8333333333333334	40.186719088296115	34.52491261961242	58.0972338382951	360216.0790985779	0.9999999946635673	0.3884501701232095	3343.693188159452	95.0
11.0	0.30380826716022774	0.3923834656795445	0.30380826716022774	28.916197893856335	1.3280130650419917	93.77698075742842	259192.08295849757	0.33426371548920286	0.012873886763911435	2488.405506	95.0
12.0	0.27908799279413005	0.360456003602935	0.360456003602935	36.36615331930011	18.358891885885914	66.25524444283178	325970.2075154261	0.9985028612083977	0.3025763742859813	3080.5277474950053	95.0
13.0	0.2525475607518618	0.3261777174893931	0.42127472175874514	36.450062760411456	18.717514401755285	65.86307615682995	326722.3348490875	0.9986916099034713	0.3067044615070532	3080.5277474950053	95.0
14.0	0.22492206902727188	0.2904980229066276	0.48457990806610046	36.450062760411456	18.717514401755285	65.86307615682995	326722.3348490875	0.9986916099034713	0.3067044615070532	3080.5277474950053	95.0
