Path no.	a	b	c	E_P	R_P	I_P	Length	No. pixel
1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	16.07898270353712	0.0	50.0	263.8930067686106	51.0
2.0	0.19371294336139652	0.19371294336139652	0.6125741132772069	16.07898270353712	0.0	50.0	263.8930067686106	51.0
3.0	0.08333333333333333	0.08333333333333333	0.8333333333333334	55.474202831121	0.0	44.051800722872315	908.4607500897614	149.0
4.0	0.19371294336139652	0.6125741132772069	0.19371294336139652	16.07898270353712	0.0	50.0	263.8930067686106	51.0
5.0	0.1365270594958143	0.4317364702520928	0.4317364702520928	16.07898270353712	0.0	50.0	263.8930067686106	51.0
6.0	0.07061011116965424	0.22328877713380335	0.7061011116965423	55.474202831121	0.0	44.051800722872315	908.4607500897614	149.0
7.0	0.08333333333333333	0.8333333333333334	0.08333333333333333	16.07898270353712	0.0	50.0	263.8930067686106	51.0
8.0	0.07061011116965424	0.7061011116965423	0.22328877713380335	16.07898270353712	0.0	50.0	263.8930067686106	51.0
9.0	0.047619047619047616	0.47619047619047616	0.47619047619047616	55.474202831121	0.0	44.051800722872315	908.4607500897614	149.0
10.0	0.6125741132772069	0.19371294336139652	0.19371294336139652	16.07898270353712	0.0	50.0	263.8930067686106	51.0
11.0	0.4317364702520928	0.1365270594958143	0.4317364702520928	16.07898270353712	0.0	50.0	263.8930067686106	51.0
12.0	0.22328877713380335	0.07061011116965424	0.7061011116965423	16.07898270353712	0.0	50.0	263.8930067686106	51.0
13.0	0.43173647025209283	0.43173647025209283	0.1365270594958143	16.07898270353712	0.0	50.0	263.8930067686106	51.0
14.0	0.33333333333333337	0.33333333333333337	0.33333333333333337	16.07898270353712	0.0	50.0	263.8930067686106	51.0
15.0	0.19371294336139655	0.19371294336139655	0.6125741132772068	16.07898270353712	0.0	50.0	263.8930067686106	51.0
16.0	0.22328877713380335	0.7061011116965423	0.07061011116965424	16.07898270353712	0.0	50.0	263.8930067686106	51.0
17.0	0.19371294336139655	0.6125741132772068	0.19371294336139655	16.07898270353712	0.0	50.0	263.8930067686106	51.0
18.0	0.13652705949581434	0.4317364702520929	0.4317364702520929	16.07898270353712	0.0	50.0	263.8930067686106	51.0
19.0	0.8333333333333334	0.08333333333333333	0.08333333333333333	16.07898270353712	0.0	50.0	263.8930067686106	51.0
20.0	0.7061011116965423	0.07061011116965424	0.22328877713380335	16.07898270353712	0.0	50.0	263.8930067686106	51.0
21.0	0.47619047619047616	0.047619047619047616	0.47619047619047616	16.07898270353712	0.0	50.0	263.8930067686106	51.0
22.0	0.7061011116965423	0.22328877713380335	0.07061011116965424	16.07898270353712	0.0	50.0	263.8930067686106	51.0
23.0	0.6125741132772068	0.19371294336139655	0.19371294336139655	16.07898270353712	0.0	50.0	263.8930067686106	51.0
24.0	0.4317364702520929	0.13652705949581434	0.4317364702520929	16.07898270353712	0.0	50.0	263.8930067686106	51.0
25.0	0.47619047619047616	0.47619047619047616	0.047619047619047616	16.07898270353712	0.0	50.0	263.8930067686106	51.0
26.0	0.4317364702520929	0.4317364702520929	0.13652705949581434	16.07898270353712	0.0	50.0	263.8930067686106	51.0
