Path no.	a	b	c	E_P	R_P	I_P	Length	No. pixel
1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	28.27027057536905	0.0	16.766998555511236	460.4607806605752	79.0
2.0	0.19371294336139652	0.19371294336139652	0.6125741132772069	29.91680768203983	0.0	15.764535915106535	487.4141128970709	83.0
3.0	0.08333333333333333	0.08333333333333333	0.8333333333333334	30.839611279280664	0.0	15.543477308005095	502.5257727788231	87.0
4.0	0.19371294336139652	0.6125741132772069	0.19371294336139652	28.27027057536905	0.0	16.766998555511236	460.4607806605752	79.0
5.0	0.1365270594958143	0.4317364702520928	0.4317364702520928	29.91680768203983	0.0	15.764535915106535	487.4141128970709	83.0
6.0	0.07061011116965424	0.22328877713380335	0.7061011116965423	30.839611279280664	0.0	15.543477308005095	502.5257727788231	87.0
7.0	0.08333333333333333	0.8333333333333334	0.08333333333333333	28.27027057536905	0.0	16.766998555511236	460.4607806605752	79.0
8.0	0.07061011116965424	0.7061011116965423	0.22328877713380335	29.91680768203983	0.0	15.764535915106535	487.4141128970709	83.0
9.0	0.047619047619047616	0.47619047619047616	0.47619047619047616	30.839611279280664	0.0	15.543477308005095	502.5257727788231	87.0
10.0	0.6125741132772069	0.19371294336139652	0.19371294336139652	24.69766604526096	0.0	24.00426099821925	402.1280134832037	68.0
11.0	0.4317364702520928	0.1365270594958143	0.4317364702520928	28.27027057536905	0.0	16.766998555511236	460.4607806605752	79.0
12.0	0.22328877713380335	0.07061011116965424	0.7061011116965423	29.91680768203983	0.0	15.764535915106535	487.4141128970709	83.0
13.0	0.43173647025209283	0.43173647025209283	0.1365270594958143	24.69766604526096	0.0	24.00426099821925	402.1280134832037	68.0
14.0	0.33333333333333337	0.33333333333333337	0.33333333333333337	28.27027057536905	0.0	16.766998555511236	460.4607806605752	79.0
15.0	0.19371294336139655	0.19371294336139655	0.6125741132772068	29.91680768203983	0.0	15.764535915106535	487.4141128970709	83.0
16.0	0.22328877713380335	0.7061011116965423	0.07061011116965424	24.69766604526096	0.0	24.00426099821925	402.1280134832037	68.0
17.0	0.19371294336139655	0.6125741132772068	0.19371294336139655	28.27027057536905	0.0	16.766998555511236	460.4607806605752	79.0
18.0	0.13652705949581434	0.4317364702520929	0.4317364702520929	29.91680768203983	0.0	15.764535915106535	487.4141128970709	83.0
19.0	0.8333333333333334	0.08333333333333333	0.08333333333333333	22.043570800058298	0.0	40.50043323717546	358.70854818247795	68.0
20.0	0.7061011116965423	0.07061011116965424	0.22328877713380335	24.69766604526096	0.0	24.00426099821925	402.1280134832037	68.0
21.0	0.47619047619047616	0.047619047619047616	0.47619047619047616	28.27027057536905	0.0	16.766998555511236	460.4607806605752	79.0
22.0	0.7061011116965423	0.22328877713380335	0.07061011116965424	22.043570800058298	0.0	40.50043323717546	358.70854818247795	68.0
23.0	0.6125741132772068	0.19371294336139655	0.19371294336139655	24.69766604526096	0.0	24.00426099821925	402.1280134832037	68.0
24.0	0.4317364702520929	0.13652705949581434	0.4317364702520929	28.27027057536905	0.0	16.766998555511236	460.4607806605752	79.0
25.0	0.47619047619047616	0.47619047619047616	0.047619047619047616	22.043570800058298	0.0	40.50043323717546	358.70854818247795	68.0
26.0	0.4317364702520929	0.4317364702520929	0.13652705949581434	24.69766604526096	0.0	24.00426099821925	402.1280134832037	68.0
