Path no.	a	b	c	E_P	R_P	I_P	Length	No. pixel
1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	49.69514329226841	0.0	41.2476322503062	807.8646327890357	137.0
2.0	0.19371294336139652	0.19371294336139652	0.6125741132772069	60.60089985711136	0.0	37.14511582267005	986.3312798532659	167.0
3.0	0.08333333333333333	0.08333333333333333	0.8333333333333334	64.98756167406499	0.0	36.43020493246149	1058.1407131488854	180.0
4.0	0.19371294336139652	0.6125741132772069	0.19371294336139652	49.69514329226841	0.0	41.2476322503062	807.8646327890357	137.0
5.0	0.1365270594958143	0.4317364702520928	0.4317364702520928	60.60089985711136	0.0	37.14511582267005	986.3312798532659	167.0
6.0	0.07061011116965424	0.22328877713380335	0.7061011116965423	64.98756167406499	0.0	36.43020493246149	1058.1407131488854	180.0
7.0	0.08333333333333333	0.8333333333333334	0.08333333333333333	49.69514329226841	0.0	41.2476322503062	807.8646327890357	137.0
8.0	0.07061011116965424	0.7061011116965423	0.22328877713380335	60.60089985711136	0.0	37.14511582267005	986.3312798532659	167.0
9.0	0.047619047619047616	0.47619047619047616	0.47619047619047616	64.98756167406499	0.0	36.43020493246149	1058.1407131488854	180.0
10.0	0.6125741132772069	0.19371294336139652	0.19371294336139652	46.623695476719234	0.0	45.656098771556174	757.7068344291861	136.0
11.0	0.4317364702520928	0.1365270594958143	0.4317364702520928	49.69514329226841	0.0	41.2476322503062	807.8646327890357	137.0
12.0	0.22328877713380335	0.07061011116965424	0.7061011116965423	60.60089985711136	0.0	37.14511582267005	986.3312798532659	167.0
13.0	0.43173647025209283	0.43173647025209283	0.1365270594958143	46.623695476719234	0.0	45.656098771556174	757.7068344291861	136.0
14.0	0.33333333333333337	0.33333333333333337	0.33333333333333337	49.69514329226841	0.0	41.2476322503062	807.8646327890357	137.0
15.0	0.19371294336139655	0.19371294336139655	0.6125741132772068	60.60089985711136	0.0	37.14511582267005	986.3312798532659	167.0
16.0	0.22328877713380335	0.7061011116965423	0.07061011116965424	46.623695476719234	0.0	45.656098771556174	757.7068344291861	136.0
17.0	0.19371294336139655	0.6125741132772068	0.19371294336139655	49.69514329226841	0.0	41.2476322503062	807.8646327890357	137.0
18.0	0.13652705949581434	0.4317364702520929	0.4317364702520929	60.60089985711136	0.0	37.14511582267005	986.3312798532659	167.0
19.0	0.8333333333333334	0.08333333333333333	0.08333333333333333	46.623695476719234	0.0	45.656098771556174	757.7068344291861	136.0
20.0	0.7061011116965423	0.07061011116965424	0.22328877713380335	46.623695476719234	0.0	45.656098771556174	757.7068344291861	136.0
21.0	0.47619047619047616	0.047619047619047616	0.47619047619047616	49.69514329226841	0.0	41.2476322503062	807.8646327890357	137.0
22.0	0.7061011116965423	0.22328877713380335	0.07061011116965424	46.623695476719234	0.0	45.656098771556174	757.7068344291861	136.0
23.0	0.6125741132772068	0.19371294336139655	0.19371294336139655	46.623695476719234	0.0	45.656098771556174	757.7068344291861	136.0
24.0	0.4317364702520929	0.13652705949581434	0.4317364702520929	49.69514329226841	0.0	41.2476322503062	807.8646327890357	137.0
25.0	0.47619047619047616	0.47619047619047616	0.047619047619047616	46.623695476719234	0.0	45.656098771556174	757.7068344291861	136.0
26.0	0.4317364702520929	0.4317364702520929	0.13652705949581434	46.623695476719234	0.0	45.656098771556174	757.7068344291861	136.0
