Path no.	a	b	c	E_P	R_P	I_P	Length	No. pixel
1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	41.962011379158064	0.0	23.09649014546204	690.1832435474338	121.0
2.0	0.19371294336139652	0.19371294336139652	0.6125741132772069	43.09505713888849	0.0	22.337314919369703	708.7632489613011	122.0
3.0	0.08333333333333333	0.08333333333333333	0.8333333333333334	43.26586368846512	0.0	22.29108055009175	711.5543579021772	123.0
4.0	0.19371294336139652	0.6125741132772069	0.19371294336139652	41.962011379158064	0.0	23.09649014546204	690.1832435474338	121.0
5.0	0.1365270594958143	0.4317364702520928	0.4317364702520928	43.09505713888849	0.0	22.337314919369703	708.7632489613011	122.0
6.0	0.07061011116965424	0.22328877713380335	0.7061011116965423	43.26586368846512	0.0	22.29108055009175	711.5543579021772	123.0
7.0	0.08333333333333333	0.8333333333333334	0.08333333333333333	41.962011379158064	0.0	23.09649014546204	690.1832435474338	121.0
8.0	0.07061011116965424	0.7061011116965423	0.22328877713380335	43.09505713888849	0.0	22.337314919369703	708.7632489613011	122.0
9.0	0.047619047619047616	0.47619047619047616	0.47619047619047616	43.26586368846512	0.0	22.29108055009175	711.5543579021772	123.0
10.0	0.6125741132772069	0.19371294336139652	0.19371294336139652	41.04078674064493	0.0	24.69643926693726	675.0715836656816	117.0
11.0	0.4317364702520928	0.1365270594958143	0.4317364702520928	41.962011379158064	0.0	23.09649014546204	690.1832435474338	121.0
12.0	0.22328877713380335	0.07061011116965424	0.7061011116965423	43.09505713888849	0.0	22.337314919369703	708.7632489613011	122.0
13.0	0.43173647025209283	0.43173647025209283	0.1365270594958143	41.04078674064493	0.0	24.69643926693726	675.0715836656816	117.0
14.0	0.33333333333333337	0.33333333333333337	0.33333333333333337	41.962011379158064	0.0	23.09649014546204	690.1832435474338	121.0
15.0	0.19371294336139655	0.19371294336139655	0.6125741132772068	43.09505713888849	0.0	22.337314919369703	708.7632489613011	122.0
16.0	0.22328877713380335	0.7061011116965423	0.07061011116965424	41.04078674064493	0.0	24.69643926693726	675.0715836656816	117.0
17.0	0.19371294336139655	0.6125741132772068	0.19371294336139655	41.962011379158064	0.0	23.09649014546204	690.1832435474338	121.0
18.0	0.13652705949581434	0.4317364702520929	0.4317364702520929	43.09505713888849	0.0	22.337314919369703	708.7632489613011	122.0
19.0	0.8333333333333334	0.08333333333333333	0.08333333333333333	40.31163896081611	0.0	27.485836283104902	663.2299113109381	117.0
20.0	0.7061011116965423	0.07061011116965424	0.22328877713380335	41.04078674064493	0.0	24.69643926693726	675.0715836656816	117.0
21.0	0.47619047619047616	0.047619047619047616	0.47619047619047616	41.962011379158064	0.0	23.09649014546204	690.1832435474338	121.0
22.0	0.7061011116965423	0.22328877713380335	0.07061011116965424	40.31163896081611	0.0	27.485836283104902	663.2299113109381	117.0
23.0	0.6125741132772068	0.19371294336139655	0.19371294336139655	41.04078674064493	0.0	24.69643926693726	675.0715836656816	117.0
24.0	0.4317364702520929	0.13652705949581434	0.4317364702520929	41.962011379158064	0.0	23.09649014546204	690.1832435474338	121.0
25.0	0.47619047619047616	0.47619047619047616	0.047619047619047616	40.31163896081611	0.0	27.485836283104902	663.2299113109381	117.0
26.0	0.4317364702520929	0.4317364702520929	0.13652705949581434	41.04078674064493	0.0	24.69643926693726	675.0715836656816	117.0
