Path no.	a	b	c	E_P	R_P	I_P	E	crash	S	Length	No. pixel
1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	60.310653296865915	7.713725946157226	105.74471118772891	1020369.6095440242	0.7136461994581165	0.2553189352976837	9695.136133894222	142.0
2.0	0.30380826716022774	0.30380826716022774	0.3923834656795445	60.358623451865306	9.962674394588387	103.84414423159517	1021181.1956511347	0.8137074693039255	0.25291982567197724	9600.881799734667	139.0
3.0	0.2726206628903694	0.2726206628903694	0.4547586742192613	61.41425141379457	20.741027026694596	95.30999756964779	1039040.9042176391	0.9846516376676553	0.28338347691994137	9367.941212188594	133.0
4.0	0.24070663630827838	0.24070663630827838	0.5185867273834431	61.409766551028405	20.76264438803496	95.30108191024314	1038965.0267827348	0.984539382245057	0.28345051195305904	9367.941212188594	133.0
5.0	0.20909306417365262	0.20909306417365262	0.5818138716526947	61.470952974949604	31.993020044835635	90.2035514020348	1040000.2131730821	0.998776003927842	0.24830373831637664	8959.505764163858	120.0
6.0	0.17876891510895462	0.17876891510895462	0.6424621697820907	61.470952974949604	31.993020044835635	90.2035514020348	1040000.2131730821	0.998776003927842	0.24830373831637664	8959.505764163858	120.0
7.0	0.15056638178790074	0.15056638178790074	0.6988672364241985	61.470952974949604	31.993020044835635	90.2035514020348	1040000.2131730821	0.998776003927842	0.24830373831637664	8959.505764163858	120.0
8.0	0.12508063787386264	0.12508063787386264	0.7498387242522747	61.469617625095815	32.016183352049254	90.19942951127324	1039977.6209719628	0.9987732304549984	0.24833808740605634	8959.505764163858	120.0
9.0	0.10264161723118406	0.10264161723118406	0.7947167655376318	61.469617625095815	32.016183352049254	90.19942951127324	1039977.6209719628	0.9987732304549984	0.24833808740605634	8959.505764163858	120.0
10.0	0.08333333333333333	0.08333333333333333	0.8333333333333334	61.22138858902857	32.31496138522513	90.19291295343594	1035777.9422955824	0.9987966811185343	0.24839239205470054	8915.073844936896	120.0
11.0	0.30380826716022774	0.3923834656795445	0.30380826716022774	60.55263392152607	7.497241141432799	105.75353062914562	1024463.5740760671	0.7036676815153969	0.25525682655531257	9739.568053121184	142.0
12.0	0.27908799279413005	0.360456003602935	0.360456003602935	60.55263392152607	7.497241141432799	105.75353062914562	1024463.5740760671	0.7036676815153969	0.25525682655531257	9739.568053121184	142.0
13.0	0.2525475607518618	0.3261777174893931	0.42127472175874514	60.93024114401211	8.9728968834996	104.21901236162061	1030852.1457977582	0.7800924476793288	0.2660632932280238	9739.568053121186	142.0
14.0	0.22492206902727188	0.2904980229066276	0.48457990806610046	61.41425141379457	20.741027026694596	95.30999756964779	1039040.9042176391	0.9846516376676553	0.28338347691994137	9367.941212188594	133.0
15.0	0.19707893282386293	0.25453722967015097	0.5483838375059861	61.409766551028405	20.76264438803496	95.30108191024314	1038965.0267827348	0.984539382245057	0.28345051195305904	9367.941212188594	133.0
16.0	0.1699130442980791	0.21945113544484318	0.6106358202570776	61.51267637823313	31.84311281165226	90.24251878813217	1040706.1132154461	0.9988551521628247	0.24797901009889856	8959.50576416386	120.0
17.0	0.14423482239651478	0.18628643654969992	0.6694787410537852	61.470952974949604	31.993020044835635	90.2035514020348	1040000.2131730821	0.998776003927842	0.24830373831637664	8959.505764163858	120.0
18.0	0.12067978194866266	0.15586393194986448	0.7234562861014728	61.470952974949604	31.993020044835635	90.2035514020348	1040000.2131730821	0.998776003927842	0.24830373831637664	8959.505764163858	120.0
19.0	0.09965929981614352	0.12871493529315806	0.7716257648906985	61.469617625095815	32.016183352049254	90.19942951127324	1039977.6209719628	0.9987732304549984	0.24833808740605634	8959.505764163858	120.0
20.0	0.08135670661985557	0.10507622718158866	0.8135670661985558	61.469617625095815	32.016183352049254	90.19942951127324	1039977.6209719628	0.9987732304549984	0.24833808740605634	8959.505764163858	120.0
21.0	0.2726206628903694	0.4547586742192613	0.2726206628903694	60.55263392152607	7.497241141432799	105.75353062914562	1024463.5740760671	0.7036676815153969	0.25525682655531257	9739.568053121184	142.0
22.0	0.2525475607518618	0.42127472175874514	0.3261777174893931	60.55263392152607	7.497241141432799	105.75353062914562	1024463.5740760671	0.7036676815153969	0.25525682655531257	9739.568053121184	142.0
23.0	0.2306166118319001	0.38469169408405	0.38469169408405	60.55263392152607	7.497241141432799	105.75353062914562	1024463.5740760671	0.7036676815153969	0.25525682655531257	9739.568053121184	142.0
24.0	0.20735981239767615	0.345897014454267	0.446743173148057	60.93024114401211	8.9728968834996	104.21901236162061	1030852.1457977582	0.7800924476793288	0.2660632932280238	9739.568053121186	142.0
25.0	0.1834640229103635	0.30603643517366125	0.5104995419159752	61.678272556101525	20.38484599354887	95.40670659043353	1043507.7626441439	0.9845988648198047	0.2826563414253118	9412.37313141556	133.0
26.0	0.15969557676781265	0.2663882773948615	0.573916145837326	61.62391670432931	20.584780641223706	95.31099984320556	1042588.1397215362	0.983265289500082	0.2833759410285296	9412.373131415556	133.0
27.0	0.13680471895193544	0.2282040251752266	0.634991255872838	61.72549118168025	31.688412372054664	90.24831483033304	1044306.6339531282	0.9987579985849818	0.24793070974722464	9003.93768339082	120.0
28.0	0.11543421159964617	0.19255587038063504	0.6920099180197187	61.470952974949604	31.993020044835635	90.2035514020348	1040000.2131730821	0.998776003927842	0.24830373831637664	8959.505764163858	120.0
29.0	0.09605467557532285	0.16022885592777342	0.7437164684969036	61.470952974949604	31.993020044835635	90.2035514020348	1040000.2131730821	0.998776003927842	0.24830373831637664	8959.505764163858	120.0
30.0	0.07893843256638876	0.1316772417697237	0.7893843256638876	61.469617625095815	32.016183352049254	90.19942951127324	1039977.6209719628	0.9987732304549984	0.24833808740605634	8959.505764163858	120.0
31.0	0.24070663630827838	0.5185867273834431	0.24070663630827838	60.64279955159366	6.256486574763421	107.897062940088	1025989.0470019446	0.6304895864036091	0.2507148406938333	9802.404275894221	144.0
32.0	0.22492206902727188	0.48457990806610046	0.2904980229066276	60.59115706887683	6.851569084890625	106.7973593183314	1025115.33038564	0.6671478215200681	0.253165319452228	9770.986164507704	143.0
33.0	0.20735981239767612	0.4467431731480569	0.34589701445426696	60.55263392152607	7.497241141432799	105.75353062914562	1024463.5740760671	0.7036676815153969	0.25525682655531257	9739.568053121184	142.0
34.0	0.18836402412823885	0.4058179879358806	0.4058179879358806	60.55263392152607	7.497241141432799	105.75353062914562	1024463.5740760671	0.7036676815153969	0.25525682655531257	9739.568053121184	142.0
