Path no.	a	b	c	E_P	R_P	I_P	E	crash	S	Length	No. pixel
1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	56.784553584366556	5.381359508035096	106.06405122929964	960713.0681176484	0.5705280254912348	0.24777268631702387	9130.534991784149	141.0
2.0	0.30380826716022774	0.30380826716022774	0.3923834656795445	54.839766717636046	46.27940497880483	73.20728274097726	927810.0682764035	0.9999957350647127	0.26053249756588626	7055.6316866920015	99.0
3.0	0.2726206628903694	0.2726206628903694	0.4547586742192613	54.839766717636046	46.27940497880483	73.20728274097726	927810.0682764035	0.9999957350647127	0.26053249756588626	7055.6316866920015	99.0
4.0	0.24070663630827838	0.24070663630827838	0.5185867273834431	54.839766717636046	46.27940497880483	73.20728274097726	927810.0682764035	0.9999957350647127	0.26053249756588626	7055.6316866920015	99.0
5.0	0.20909306417365262	0.20909306417365262	0.5818138716526947	54.839766717636046	46.27940497880483	73.20728274097726	927810.0682764035	0.9999957350647127	0.26053249756588626	7055.6316866920015	99.0
6.0	0.17876891510895462	0.17876891510895462	0.6424621697820907	54.839766717636046	46.27940497880483	73.20728274097726	927810.0682764035	0.9999957350647127	0.26053249756588626	7055.6316866920015	99.0
7.0	0.15056638178790074	0.15056638178790074	0.6988672364241985	54.839766717636046	46.27940497880483	73.20728274097726	927810.0682764035	0.9999957350647127	0.26053249756588626	7055.6316866920015	99.0
8.0	0.12508063787386264	0.12508063787386264	0.7498387242522747	54.8376253527341	46.30263603128754	73.20355141108499	927773.8394586168	0.9999957202044216	0.2605701877668183	7055.6316866920015	99.0
9.0	0.10264161723118406	0.10264161723118406	0.7947167655376318	54.84333092771649	46.353233979017624	73.19483628022343	927870.3695905048	0.9999957514916935	0.26065821939168254	7055.6316866920015	99.0
10.0	0.08333333333333333	0.08333333333333333	0.8333333333333334	54.84170978507461	46.373211261842876	73.19280037576	927842.9421859904	0.9999957402398454	0.2606787840832323	7055.6316866920015	99.0
11.0	0.30380826716022774	0.3923834656795445	0.30380826716022774	57.026507338025795	5.223376435388374	105.98512911295559	964806.5780309595	0.5598925125914491	0.2483324176386128	9174.966911011114	141.0
12.0	0.27908799279413005	0.360456003602935	0.360456003602935	57.026507338025795	5.223376435388374	105.98512911295559	964806.5780309595	0.5598925125914491	0.2483324176386128	9174.966911011114	141.0
13.0	0.2525475607518618	0.3261777174893931	0.42127472175874514	54.839766717636046	46.27940497880483	73.20728274097726	927810.0682764035	0.9999957350647127	0.26053249756588626	7055.6316866920015	99.0
14.0	0.22492206902727188	0.2904980229066276	0.48457990806610046	54.839766717636046	46.27940497880483	73.20728274097726	927810.0682764035	0.9999957350647127	0.26053249756588626	7055.6316866920015	99.0
15.0	0.19707893282386293	0.25453722967015097	0.5483838375059861	54.839766717636046	46.27940497880483	73.20728274097726	927810.0682764035	0.9999957350647127	0.26053249756588626	7055.6316866920015	99.0
16.0	0.1699130442980791	0.21945113544484318	0.6106358202570776	54.839766717636046	46.27940497880483	73.20728274097726	927810.0682764035	0.9999957350647127	0.26053249756588626	7055.6316866920015	99.0
17.0	0.14423482239651478	0.18628643654969992	0.6694787410537852	54.839766717636046	46.27940497880483	73.20728274097726	927810.0682764035	0.9999957350647127	0.26053249756588626	7055.6316866920015	99.0
18.0	0.12067978194866266	0.15586393194986448	0.7234562861014728	54.839766717636046	46.27940497880483	73.20728274097726	927810.0682764035	0.9999957350647127	0.26053249756588626	7055.6316866920015	99.0
19.0	0.09965929981614352	0.12871493529315806	0.7716257648906985	54.8376253527341	46.30263603128754	73.20355141108499	927773.8394586168	0.9999957202044216	0.2605701877668183	7055.6316866920015	99.0
20.0	0.08135670661985557	0.10507622718158866	0.8135670661985558	54.84333092771649	46.353233979017624	73.19483628022343	927870.3695905048	0.9999957514916935	0.26065821939168254	7055.6316866920015	99.0
21.0	0.2726206628903694	0.4547586742192613	0.2726206628903694	57.026507338025795	5.223376435388374	105.98512911295559	964806.5780309595	0.5598925125914491	0.2483324176386128	9174.966911011114	141.0
22.0	0.2525475607518618	0.42127472175874514	0.3261777174893931	57.026507338025795	5.223376435388374	105.98512911295559	964806.5780309595	0.5598925125914491	0.2483324176386128	9174.966911011114	141.0
23.0	0.2306166118319001	0.38469169408405	0.38469169408405	57.11006468013519	5.604012609731122	105.54551694206644	966220.248218265	0.5873015551504343	0.2514502344534295	9174.966911011114	141.0
24.0	0.20735981239767615	0.345897014454267	0.446743173148057	55.082007495714365	46.13051151260454	73.20728274097726	931908.4342305368	0.9999956290618194	0.26053249756588626	7100.063605918965	99.0
25.0	0.1834640229103635	0.30603643517366125	0.5104995419159752	55.082007495714365	46.13051151260454	73.20728274097726	931908.4342305368	0.9999956290618194	0.26053249756588626	7100.063605918965	99.0
26.0	0.15969557676781265	0.2663882773948615	0.573916145837326	55.082007495714365	46.13051151260454	73.20728274097726	931908.4342305368	0.9999956290618194	0.26053249756588626	7100.063605918965	99.0
27.0	0.13680471895193544	0.2282040251752266	0.634991255872838	55.082007495714365	46.13051151260454	73.20728274097726	931908.4342305368	0.9999956290618194	0.26053249756588626	7100.063605918965	99.0
28.0	0.11543421159964617	0.19255587038063504	0.6920099180197187	55.082007495714365	46.13051151260454	73.20728274097726	931908.4342305368	0.9999956290618194	0.26053249756588626	7100.063605918965	99.0
29.0	0.09605467557532285	0.16022885592777342	0.7437164684969036	55.082007495714365	46.13051151260454	73.20728274097726	931908.4342305368	0.9999956290618194	0.26053249756588626	7100.063605918965	99.0
30.0	0.07893843256638876	0.1316772417697237	0.7893843256638876	55.07986613081242	46.153742565087256	73.20355141108499	931872.2054127501	0.9999956138321829	0.2605701877668183	7100.063605918965	99.0
31.0	0.24070663630827838	0.5185867273834431	0.24070663630827838	57.779346051548515	4.683484620826998	106.30504634530153	977543.5275112716	0.5188872965523386	0.24606350109715225	9308.262668692001	141.0
32.0	0.22492206902727188	0.48457990806610046	0.2904980229066276	57.78247790924549	4.700667558336952	106.26736956806918	977596.5140441763	0.520188757932667	0.24633071228319725	9308.262668692001	141.0
33.0	0.20735981239767612	0.4467431731480569	0.34589701445426696	57.026507338025795	5.223376435388374	105.98512911295559	964806.5780309595	0.5598925125914491	0.2483324176386128	9174.966911011114	141.0
34.0	0.18836402412823885	0.4058179879358806	0.4058179879358806	57.11006468013519	5.604012609731122	105.54551694206644	966220.248218265	0.5873015551504343	0.2514502344534295	9174.966911011114	141.0
35.0	0.16843540425738773	0.3628830779616602	0.4686815177809522	55.082007495714365	46.13051151260454	73.20728274097726	931908.4342305368	0.9999956290618194	0.26053249756588626	7100.063605918965	99.0
36.0	0.1481866030362502	0.3192583581792815	0.5325550387844683	55.082007495714365	46.13051151260454	73.20728274097726	931908.4342305368	0.9999956290618194	0.26053249756588626	7100.063605918965	99.0
37.0	0.12827052111465376	0.2763504603978773	0.595379018487469	55.082007495714365	46.13051151260454	73.20728274097726	931908.4342305368	0.9999956290618194	0.26053249756588626	7100.063605918965	99.0
38.0	0.10929825153192438	0.23547594466020838	0.6552258038078672	55.082007495714365	46.13051151260454	73.20728274097726	931908.4342305368	0.9999956290618194	0.26053249756588626	7100.063605918965	99.0
39.0	0.0917677743469281	0.1977076764800399	0.710524549173032	55.082007495714365	46.13051151260454	73.20728274097726	931908.4342305368	0.9999956290618194	0.26053249756588626	7100.063605918965	99.0
40.0	0.07601999048714546	0.16378010464139997	0.7601999048714545	55.367212105457575	46.02869526125306	73.20035043015017	936733.6864932072	0.9999958082538523	0.2606025209075741	7144.495525145926	99.0
41.0	0.20909306417365262	0.5818138716526947	0.20909306417365262	57.940481584747005	3.762989779345526	108.41090187901158	980269.7092404614	0.439753978287203	0.24188180504187706	9371.098891465037	143.0
42.0	0.19707893282386293	0.5483838375059861	0.25453722967015097	57.779346051548515	4.683484620826998	106.30504634530153	977543.5275112716	0.5188872965523386	0.24606350109715225	9308.262668692001	141.0
43.0	0.1834640229103635	0.5104995419159752	0.30603643517366125	57.78247790924549	4.700667558336952	106.26736956806918	977596.5140441763	0.520188757932667	0.24633071228319725	9308.262668692001	141.0
44.0	0.16843540425738773	0.4686815177809522	0.3628830779616602	57.78247790924549	4.700667558336952	106.26736956806918	977596.5140441763	0.520188757932667	0.24633071228319725	9308.262668692001	141.0
45.0	0.15232016811753976	0.4238399159412301	0.4238399159412301	57.11006468013519	5.604012609731122	105.54551694206644	966220.248218265	0.5873015551504343	0.2514502344534295	9174.966911011114	141.0
46.0	0.135567980503551	0.37722595878838805	0.487206060708061	55.61256655148516	45.92718732973022	73.20035043015017	940884.731235846	0.9999957504218056	0.2606025209075741	7188.927444372889	99.0
47.0	0.11870636318434541	0.33030750698041395	0.5509861298352406	55.61256655148516	45.92718732973022	73.20035043015017	940884.731235846	0.9999957504218056	0.2606025209075741	7188.927444372889	99.0
48.0	0.10227665894025084	0.2845908789605263	0.6131324620992228	55.61256655148516	45.92718732973022	73.20035043015017	940884.731235846	0.9999957504218056	0.2606025209075741	7188.927444372889	99.0
49.0	0.0867664185605949	0.2414327137616221	0.6718008676777829	55.61256655148516	45.92718732973022	73.20035043015017	940884.731235846	0.9999957504218056	0.2606025209075741	7188.927444372889	99.0
50.0	0.07255546454164827	0.20188989004186905	0.7255546454164827	55.61256655148516	45.92718732973022	73.20035043015017	940884.731235846	0.9999957504218056	0.2606025209075741	7188.927444372889	99.0
51.0	0.17876891510895462	0.6424621697820907	0.17876891510895462	57.940481584747005	3.762989779345526	108.41090187901158	980269.7092404614	0.439753978287203	0.24188180504187706	9371.098891465037	143.0
52.0	0.1699130442980791	0.6106358202570776	0.21945113544484318	57.940481584747005	3.762989779345526	108.41090187901158	980269.7092404614	0.439753978287203	0.24188180504187706	9371.098891465037	143.0
53.0	0.15969557676781262	0.5739161458373259	0.2663882773948615	57.85313955506156	4.191527792748025	107.31119825725497	978792.0075765739	0.4775949466655781	0.24428733621651433	9339.680780078521	142.0
54.0	0.14818660303625017	0.5325550387844682	0.31925835817928144	57.78247790924549	4.700667558336952	106.26736956806918	977596.5140441763	0.520188757932667	0.24633071228319725	9308.262668692001	141.0
55.0	0.135567980503551	0.48720606070806094	0.377225958788388	57.78247790924549	4.700667558336952	106.26736956806918	977596.5140441763	0.520188757932667	0.24633071228319725	9308.262668692001	141.0
56.0	0.12213550519427399	0.43893224740286296	0.43893224740286296	57.86791344287868	5.189946872912983	105.69448470185954	979041.9605337935	0.5579314013016493	0.25039372551872674	9308.262668692001	141.0
57.0	0.10827898408105553	0.38913449249338117	0.5025865234255632	55.85977800053095	45.85491737836517	73.20035043015017	945067.1938017219	0.9999957057168815	0.2606025209075741	7233.359363599853	99.0
58.0	0.09444069051152175	0.3394022439794509	0.5661570655090273	55.85977800053095	45.85491737836517	73.20035043015017	945067.1938017219	0.9999957057168815	0.2606025209075741	7233.359363599853	99.0
