Path no.	a	b	c	E_P	R_P	I_P	Length	No. pixel
1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	19.29341094761757	-0.004157477486952978	6.489826112985611	315.6857988919646	54.0
2.0	0.19371294336139652	0.19371294336139652	0.6125741132772069	19.876147671405807	-0.0042818067687978535	6.176298767328262	325.2152408919647	56.0
3.0	0.08333333333333333	0.08333333333333333	0.8333333333333334	21.04345256516186	-0.004525534824835453	5.969996958971024	344.2741248919647	60.0
4.0	0.19371294336139652	0.6125741132772069	0.19371294336139652	19.29341094761757	-0.004157477486952978	6.489826112985611	315.6857988919646	54.0
5.0	0.1365270594958143	0.4317364702520928	0.4317364702520928	19.876147671405807	-0.0042818067687978535	6.176298767328262	325.2152408919647	56.0
6.0	0.07061011116965424	0.22328877713380335	0.7061011116965423	21.04345256516186	-0.004525534824835453	5.969996958971024	344.2741248919647	60.0
7.0	0.08333333333333333	0.8333333333333334	0.08333333333333333	19.29341094761757	-0.004157477486952978	6.489826112985611	315.6857988919646	54.0
8.0	0.07061011116965424	0.7061011116965423	0.22328877713380335	19.876147671405807	-0.0042818067687978535	6.176298767328262	325.2152408919647	56.0
9.0	0.047619047619047616	0.47619047619047616	0.47619047619047616	21.04345256516186	-0.004525534824835453	5.969996958971024	344.2741248919647	60.0
10.0	0.6125741132772069	0.19371294336139652	0.19371294336139652	18.610791118816696	-0.004011565204080905	7.7643565237522125	304.5213631284602	50.0
11.0	0.4317364702520928	0.1365270594958143	0.4317364702520928	19.29341094761757	-0.004157477486952978	6.489826112985611	315.6857988919646	54.0
12.0	0.22328877713380335	0.07061011116965424	0.7061011116965423	19.876147671405807	-0.0042818067687978535	6.176298767328262	325.2152408919647	56.0
13.0	0.43173647025209283	0.43173647025209283	0.1365270594958143	18.610791118816696	-0.004011565204080905	7.7643565237522125	304.5213631284602	50.0
14.0	0.33333333333333337	0.33333333333333337	0.33333333333333337	19.29341094761757	-0.004157477486952978	6.489826112985611	315.6857988919646	54.0
15.0	0.19371294336139655	0.19371294336139655	0.6125741132772068	19.876147671405807	-0.0042818067687978535	6.176298767328262	325.2152408919647	56.0
16.0	0.22328877713380335	0.7061011116965423	0.07061011116965424	18.610791118816696	-0.004011565204080905	7.7643565237522125	304.5213631284602	50.0
17.0	0.19371294336139655	0.6125741132772068	0.19371294336139655	19.29341094761757	-0.004157477486952978	6.489826112985611	315.6857988919646	54.0
18.0	0.13652705949581434	0.4317364702520929	0.4317364702520929	19.876147671405807	-0.0042818067687978535	6.176298767328262	325.2152408919647	56.0
19.0	0.8333333333333334	0.08333333333333333	0.08333333333333333	17.759816908779115	-0.003822995023190343	11.378171563148499	290.56581842407974	45.0
20.0	0.7061011116965423	0.07061011116965424	0.22328877713380335	18.610791118816696	-0.004011565204080905	7.7643565237522125	304.5213631284602	50.0
21.0	0.47619047619047616	0.047619047619047616	0.47619047619047616	19.29341094761757	-0.004157477486952978	6.489826112985611	315.6857988919646	54.0
22.0	0.7061011116965423	0.22328877713380335	0.07061011116965424	17.759816908779115	-0.003822995023190343	11.378171563148499	290.56581842407974	45.0
23.0	0.6125741132772068	0.19371294336139655	0.19371294336139655	18.610791118816696	-0.004011565204080905	7.7643565237522125	304.5213631284602	50.0
24.0	0.4317364702520929	0.13652705949581434	0.4317364702520929	19.29341094761757	-0.004157477486952978	6.489826112985611	315.6857988919646	54.0
25.0	0.47619047619047616	0.47619047619047616	0.047619047619047616	17.759816908779115	-0.003822995023190343	11.378171563148499	290.56581842407974	45.0
26.0	0.4317364702520929	0.4317364702520929	0.13652705949581434	18.610791118816696	-0.004011565204080905	7.7643565237522125	304.5213631284602	50.0
